caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
5934,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$75,000 to $99,999","Less than $25,000",0,0
5935,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,5,"$50,000 to $74,999","$25,000 to $49,999",NA,1
5936,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,5,"Less than $25,000","Less than $25,000",NA,0
5937,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"Less than $25,000","Less than $25,000",NA,0
5938,10,Born outside Canada,NA,NA,Visible minority,"Single, never married",2,Very good,3,"Less than $25,000","Less than $25,000",3,1
5939,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5940,5,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,2,"$25,000 to $49,999","Less than $25,000",NA,1
5941,7,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Very good,4,"Less than $25,000","Less than $25,000",NA,0
5942,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5943,10,Born outside Canada,By naturalization,NA,Not a visible minority,"Single, never married",1,Good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5944,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",NA,1
5945,6,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,3,"$100,000 to $ 124,999","$50,000 to $74,999",2,0
5946,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,4,"$125,000 and more","$125,000 and more",NA,0
5947,8,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5948,9,Don't know,Don't know,NA,Not a visible minority,Married,2,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,0
5949,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$125,000 and more","$25,000 to $49,999",2,0
5950,8,NA,NA,NA,Visible minority,Married,3,Poor,5,"$125,000 and more","$50,000 to $74,999",NA,0
5951,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
5952,5,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,1,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
5953,5,Born in Canada,By birth,No,Not a visible minority,Married,1,Poor,5,"$50,000 to $74,999","Less than $25,000",NA,0
5954,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5955,6,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,7,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5956,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,4,"Less than $25,000","Less than $25,000",1,1
5957,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
5958,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Poor,3,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5959,8,Born outside Canada,NA,NA,Visible minority,Married,6,Excellent,5,"$25,000 to $49,999","Less than $25,000",3,1
5960,3,Born outside Canada,NA,No,Not a visible minority,Divorced,3,Don't know,1,"Less than $25,000","Less than $25,000",NA,1
5961,10,Born outside Canada,By naturalization,NA,Don't know,"Single, never married",2,Excellent,5,"Less than $25,000","Less than $25,000",3,0
5962,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",7,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5963,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,1
5964,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,3,"$50,000 to $74,999","Less than $25,000",0,0
5965,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,5,"$75,000 to $99,999","$75,000 to $99,999",0,1
5966,6,Born outside Canada,NA,NA,Visible minority,Divorced,4,Good,3,"Less than $25,000","Less than $25,000",NA,1
5967,9,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
5968,10,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5969,9,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
5970,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,4,Excellent,5,"$25,000 to $49,999","Less than $25,000",2,1
5971,8,Born outside Canada,By naturalization,No,Not a visible minority,"Single, never married",7,Excellent,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
5972,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",1,Excellent,4,"$75,000 to $99,999","Less than $25,000",2,1
5973,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",2,Good,3,"$125,000 and more","Less than $25,000",2,1
5974,NA,NA,NA,NA,NA,"Single, never married",1,NA,NA,"Less than $25,000","Less than $25,000",NA,1
5975,5,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,1,"$75,000 to $99,999","$25,000 to $49,999",3,1
5976,5,Born in Canada,By birth,No,Not a visible minority,Divorced,5,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5977,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Excellent,4,"$75,000 to $99,999","$75,000 to $99,999",NA,0
5978,8,Born outside Canada,By naturalization,NA,Don't know,Married,7,Good,3,"$25,000 to $49,999","Less than $25,000",NA,1
5979,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,1
5980,8,Born outside Canada,NA,NA,Not a visible minority,Divorced,3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,0
5981,7,Born in Canada,By birth,No,Visible minority,"Single, never married",3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",2,0
5982,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$125,000 and more","$125,000 and more",NA,1
5983,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,5,"$75,000 to $99,999","$25,000 to $49,999",0,0
5984,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,5,"$25,000 to $49,999","Less than $25,000",NA,1
5985,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5986,6,Born outside Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$125,000 and more","$50,000 to $74,999",2,1
5987,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Poor,2,"$125,000 and more","$125,000 and more",NA,1
5988,9,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5989,7,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,1
5990,4,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,1,"$25,000 to $49,999","$25,000 to $49,999",0,1
5991,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
5992,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,5,"$75,000 to $99,999","$25,000 to $49,999",NA,1
5993,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,3,"$125,000 and more","Less than $25,000",4,1
5994,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Fair,3,"$50,000 to $74,999","Less than $25,000",NA,0
5995,9,Born outside Canada,By naturalization,No,Not a visible minority,Married,6,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",2,0
5996,8,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5997,7,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Very good,3,"$100,000 to $ 124,999","Less than $25,000",3,1
5998,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
5999,7,Born in Canada,By birth,No,Not a visible minority,Divorced,NA,Very good,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",0,1
6000,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,1,"Less than $25,000","Less than $25,000",NA,1
6001,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$50,000 to $74,999",0,0
6002,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",0,0
6003,7,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Excellent,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
6004,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,4,"$125,000 and more","Less than $25,000",3,1
6005,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,1
6006,7,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,1,"Less than $25,000","Less than $25,000",NA,0
6007,8,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",0,0
6008,8,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,2,Good,3,"$50,000 to $74,999","Less than $25,000",0,1
6009,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,4,"$75,000 to $99,999","Less than $25,000",NA,0
6010,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$125,000 and more","$50,000 to $74,999",0,0
6011,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
6012,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,0
6013,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,5,"$50,000 to $74,999","$50,000 to $74,999",2,1
6014,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$75,000 to $99,999","Less than $25,000",3,0
6015,5,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,6,Poor,1,"$75,000 to $99,999","$50,000 to $74,999",NA,1
6016,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,3,"$50,000 to $74,999","Less than $25,000",1,1
6017,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
6018,7,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Good,3,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
6019,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Fair,3,"$50,000 to $74,999","$25,000 to $49,999",NA,0
6020,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Excellent,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
6021,9,Born in Canada,By birth,No,Visible minority,"Single, never married",6,Excellent,5,"$125,000 and more","Less than $25,000",3,0
6022,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,5,"$125,000 and more","$100,000 to $ 124,999",0,1
6023,10,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,5,"Less than $25,000","Less than $25,000",NA,0
6024,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Good,3,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
6025,7,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
6026,8,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Excellent,4,"Less than $25,000","Less than $25,000",NA,1
6027,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
6028,7,Born outside Canada,NA,NA,Visible minority,Married,6,Fair,4,"$75,000 to $99,999","$75,000 to $99,999",0,1
6029,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
6030,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,1,"Less than $25,000","Less than $25,000",3,0
6031,6,Born outside Canada,By naturalization,NA,Not a visible minority,Married,6,Fair,3,"$75,000 to $99,999","Less than $25,000",0,0
6032,9,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Good,4,"Less than $25,000","Less than $25,000",NA,0
6033,8,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Excellent,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
6034,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,5,"$50,000 to $74,999","$25,000 to $49,999",NA,0
6035,10,Born in Canada,By birth,No,Visible minority,"Single, never married",2,Excellent,0,"$50,000 to $74,999","$50,000 to $74,999",NA,1
6036,8,Born in Canada,By birth,Yes,Not a visible minority,Separated,5,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",0,0
6037,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$125,000 and more","$125,000 and more",0,1
6038,5,Born outside Canada,By naturalization,NA,Not a visible minority,Living common-law,5,Fair,1,"$50,000 to $74,999","Less than $25,000",NA,1
6039,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
6040,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"Less than $25,000","Less than $25,000",3,1
6041,5,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Fair,3,"$25,000 to $49,999","Less than $25,000",NA,1
6042,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,3,"Less than $25,000","Less than $25,000",NA,0
6043,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Excellent,4,"$75,000 to $99,999","$75,000 to $99,999",NA,0
6044,7,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
6045,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,1,"Less than $25,000","Less than $25,000",NA,0
6046,10,Born in Canada,By birth,No,Not a visible minority,Married,5,Excellent,5,"$125,000 and more","$50,000 to $74,999",NA,0
6047,8,Born outside Canada,By naturalization,NA,Visible minority,Widowed,NA,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
6048,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Excellent,5,"$100,000 to $ 124,999","$50,000 to $74,999",2,1
6049,8,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,3,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",NA,0
6050,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
6051,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
6052,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Excellent,5,"$75,000 to $99,999","$50,000 to $74,999",0,1
6053,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$25,000 to $49,999","Less than $25,000",NA,1
6054,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$100,000 to $ 124,999","$50,000 to $74,999",2,1
6055,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,3,"$125,000 and more","$75,000 to $99,999",NA,0
6056,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$50,000 to $74,999",2,0
6057,NA,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Poor,0,"Less than $25,000","Less than $25,000",NA,1
6058,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Fair,4,"$125,000 and more","Less than $25,000",NA,0
6059,9,Born in Canada,By birth,Yes,Not a visible minority,Married,2,Good,5,"$100,000 to $ 124,999","$75,000 to $99,999",NA,1
6060,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,0
6061,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Very good,5,"$75,000 to $99,999","$50,000 to $74,999",3,1
6062,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"Less than $25,000","Less than $25,000",NA,0
6063,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$75,000 to $99,999","$75,000 to $99,999",0,1
6064,10,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
